Country Name,Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cameroon,GDP per capita (constant 2010 US$),"1550,1115225602","1475,24211098991","1343,51018514357","1254,24300646465","1180,20331229791","1055,79287468904","1048,31892343329","1055,26261349863","1072,05210224979","1098,74988602312","1118,63728676398","1136,63313234983","1146,57238412711","1165,48140823569","1183,02642104423","1204,41976699922","1251,92898156968","1243,08079524601","1251,46365713778","1277,3047156699","1286,00054519386","1278,59601416544","1286,51588785105","1303,42563089422","1325,93016371596","1360,10874692671","1401,75348326787","1441,7834763308","1469,19202206694","1481,73048205625","1502,1676658226","1518,31173876556","1490,82964058637"
Canada,GDP per capita (constant 2010 US$),,,,,,,,,,"36083,2502633716","36785,7747785457","37936,7250405827","39433,4117594734","39555,6039859566","40466,7978359236","41632,0675368095","42859,7964887415","44577,9933933731","45968,2441837917","48650,8559326839","48611,7918063649","46652,5325005855","47562,0834253057","48581,010223616","48903,2227998102","49516,2803559776","50427,8880131184","50382,8630693034","50314,421667413","51225,673478537","51734,2685418533","51956,8351252907","48617,0878945341"
Cape Verde,GDP per capita (constant 2010 US$),"928,748561545487","965,555048719346","952,75347899663","943,037848702089","1018,14758930687","1075,68608213927","1246,77267239021","1387,54286951316","1508,86911961384","1640,48587310249","1808,84761706726","1973,84160986493","2215,11990260447","2225,45297130011","2303,95053972065","2362,98733289657","2565,76926151688","2705,12295039197","2882,88380184301","3279,0300403062","3455,0730249645","3370,37793760382","3378,3234334576","3468,65314862897","3461,88553912386","3445,3592375428","3422,70257297309","3414,57750563838","3532,18011142536","3619,60755380415","3740,02471108855","3907,64626644394","3293,71602128856"
Cayman Islands,GDP per capita (constant 2010 US$),,,,,,,,,,,,,,,,,,,"88301,1908959044","88391,329979757","85531,3990707196","77240,6624564005","73351,7567693109","72664,2460250502","72203,0247171231","71943,2031564776","72742,3939818386","73745,2353647457","75108,7114208427","76499,9976155518","78727,4015914237","80755,96394823",
Central African Republic,GDP per capita (constant 2010 US$),"510,08807841688","510,367883234682","488,552875690324","473,740102993783","431,213106319371","420,314335125134","428,410967941564","446,766594639464","417,801419744229","429,025612107564","438,456209044829","443,703679623159","422,864635743927","432,060402031744","438,253051507835","406,153437616342","421,946149608508","417,502138780155","428,956327413772","440,177105208544","441,296612081352","472,093433975352","488,421773091439","505,238154274855","528,645444387725","335,388954598114","334,440823798373","346,693746650642","359,600384741625","371,109224311674","379,365200122798","384,256967818224","377,527368686071"
Chad,GDP per capita (constant 2010 US$),"548,891431864788","557,326659390189","517,084364233036","543,550166058891","568,603887490842","464,14921977167","494,830703891742","484,577784071311","478,858735306097","488,904087755347","504,952389100719","483,85170021099","462,254239716662","496,96936877273","518,772566823438","572,625655776172","736,831788564","833,557676192678","810,039509101955","808,631468751167","806,077874947943","812,711670434141","892,568869694168","863,761464501841","909,31248602036","929,468422987432","961,377673691723","956,659963022023","869,05916273028","817,534790403203","812,017077074276","813,719588718793","782,958993436058"
Chile,GDP per capita (constant 2010 US$),"5397,02473219959","5836,71398945348","5933,20974589762","6291,68630558651","6879,77999026445","7214,69446986515","7459,17414670751","8004,31655933722","8427,82362921587","8932,0680602294","9199,1958359918","9049,47098231172","9419,98479151613","9622,15424885257","9814,65363188461","10109,6699619765","10726,6441801436","11225,0854986455","11808,8326041477","12256,4252372384","12553,7970904325","12227,2159782244","12808,0383396854","13455,8315662204","14035,669451247","14461,1710856179","14561,3179648848","14722,3638697198","14777,1455987862","14740,6089055114","15076,8600359311","15039,9163378276","14050,1761838708"
China,GDP per capita (constant 2010 US$),"693,956593592636","712,144218645778","729,28238638457","786,035812563587","886,909435769327","998,500351212508","1115,9877881566","1224,85189347144","1332,35016018486","1440,59691666648","1538,78893262349","1642,40306471527","1767,8596270477","1901,36228398872","2061,16950185066","2253,98730500113","2467,2496385434","2732,26617752417","3062,68745142061","3480,31001479197","3796,67994353838","4132,91193274645","4550,45310775599","4961,23044691926","5325,35841728771","5710,66990450817","6103,7484016903","6500,4183226673","6908,10913380599","7346,83656446072","7807,05780879625","8242,05464327714","8405,18047349612"
Colombia,GDP per capita (constant 2010 US$),"4309,1564871686","4369,09657147896","4467,39460246288","4468,29772463662","4559,32640402985","4713,30267089893","4894,23919808641","5055,20769083488","5068,00003734058","5151,88672558158","5094,73892561118","4801,06864025915","4862,87605315307","4867,58232017903","4913,85749625519","5031,49227964787","5225,24525341854","5404,12223554869","5693,26452761933","6002,33106969292","6126,92650332141","6128,1955887057","6336,70947398466","6711,66805187466","6911,76119085696","7201,0060866521","7449,32523719407","7580,27571259431","7633,38984323017","7620,91617187225","7698,10508179682","7843,54341712397","7228,43654618322"
Comoros,GDP per capita (constant 2010 US$),"1459,98420219013","1372,26104716223","1400,2215532248","1286,30934763201","1355,80250804816","1356,72014199207","1248,96142976883","1258,35440634052","1208,46675654261","1223,78421408494","1207,18787667941","1199,07773871653","1296,05564523267","1293,99394068293","1292,49256468855","1288,61013873322","1282,52278774375","1287,87344690333","1290,72589256176","1270,23654897569","1289,68316494339","1299,27653031959","1316,49122468758","1337,72134157246","1347,56286409961","1374,69002795391","1370,51336766419","1353,64426050198","1366,66714451763","1386,92578905306","1402,74036803678","1399,380327266","1436,52360212743"
"Congo, Dem. Rep.",GDP per capita (constant 2010 US$),"811,998530838325","777,258443265428","702,134756395842","619,796313429383","533,534544911659","444,046690562445","411,493529790441","401,185509254665","386,112901798272","355,52806860386","341,777817753253","319,562045083397","289,986295259586","276,142171552966","276,055923419969","282,64705030427","292,350897726517","300,562471828503","306,528211966792","315,263841926396","324,04031280739","322,418264750029","334,02157774666","345,266125195081","357,598285530464","375,219191277672","397,341681242633","411,020637776457","407,289627630452","408,924788358291","418,988806517947","423,64025073955","413,709040341229"
"Congo, Rep.",GDP per capita (constant 2010 US$),"3071,39681216915","3066,46290741588","3013,57482349717","3002,22944529565","2996,96823085905","2886,53346955814","2652,87645891629","2681,99699389517","2718,46837635942","2624,72592293975","2644,99900617086","2503,10644271739","2616,1216983207","2639,22124840044","2683,06670655523","2628,24092140148","2639,39102665343","2755,92809690761","2878,78514320843","2597,53797525175","2668,16927885397","2882,44883101398","3073,55778366557","3054,79491941435","3272,75731940926","3170,32008386026","3301,69007300894","3106,34077073637","2704,33919912307","2520,43289344532","2337,16789671648","2283,31920936743","2049,41786354009"
Costa Rica,GDP per capita (constant 2010 US$),"4674,83875103849","4812,79531999703","4855,31160166908","4837,1594804707","5146,51305637284","5371,58132415496","5473,86865569942","5561,84385566775","5502,19451778683","5668,37671087758","5938,33477198463","6058,75721228176","6170,95344148716","6272,8748460391","6381,46498222137","6556,03839956775","6747,11026055758","6916,62994109967","7321,0326555261","7815,97494038369","8079,01365798193","7906,38082569279","8227,12749376825","8486,08974245752","8796,16797499092","8912,74268562927","9125,90956931868","9356,92131889873","9647,7631381796","9946,12661331808","10050,1609810696","10170,1591794109","9619,71602657903"
Cote d'Ivoire,GDP per capita (constant 2010 US$),"1574,04759181825","1563,01251641038","1491,12282837145","1438,93755973668","1385,00081510925","1334,50492794342","1299,90318960121","1346,99630018915","1405,06221785739","1412,81132922974","1438,84937763272","1421,70773485768","1356,58649433348","1326,12748852678","1275,36818694798","1231,71898530025","1221,15728495416","1216,18714191101","1208,26450936403","1202,88818566139","1206,1507985806","1217,20786972238","1213,11299955211","1132,54856211258","1223,6319350233","1299,81161382566","1379,14135201025","1463,7102119205","1529,50668328336","1600,76486348971","1667,94290462867","1727,2830174715","1714,54069898774"
